,PDF_ID,Title,Publication Year
PDF03224,21227_3403,Biochar Sequestration in Lime-Slag Treated Synthetic Soils: A Green Approach to Ground Improvement,2014
PDF03225,47180_6998,Biochar Supported Nanoscale Iron Particles for the Efficient Removal of Methyl Orange Dye in Aqueous Solutions,2015
PDF03226,46427_6305,Biochar accelerates organic matter degradation and enhances N mineralisation during composting of poultry manure without a relevant impact on gas emissions,2015
PDF03227,64515_9376,Biochar addition persistently increased soil fertility and yields in maize-soybean rotations over 10 years in sub-humid regions of Kenya,2019
PDF03228,64681_10053,Biochar amendment and Calamagrostis angustifolia planting affect sources and production pathways of N2O in agricultural ditch systems,2019
PDF03229,46300_8253,11104_2015_2533_Article 45..55,2015
PDF03230,55856_8762,Biochar amendment of chromium-polluted paddy soil suppresses greenhouse gas emissions and decreases chromium uptake by rice grain,2019
PDF03231,33590_5183,Biochar amendment to lead-contaminated soil: Effects on fluorescein diacetate hydrolytic activity and phytotoxicity to rice,2015
PDF03232,48350_7170,es5b00376 1..9,2015
PDF03233,14505_2091,Biochar and carbon nanotubes as fillers in polymers: A comparison,2017
PDF03234,95773_13494,"Biochar and biochar-compost as soil amendments: Effects on peanut yield, soil properties and greenhouse gas emissions in tropical North Queensland, Australia",2015
PDF03235,70593_10967,b'Biochar and high-carbon wood ash effects on soil and vegetation in a boreal clearcut.pdf',2020
PDF03236,73983_9329,Biochar and manure alter few aspects of prairie development: A field test,2016
PDF03237,42058_6340,Biochar and renewable energy generation from poultry litter waste: A technical and economic analysis based on computational simulations,2015
PDF03238,58414_8311,Biochar application does not improve the soil hydrological function of a sandy soil,2015
PDF03239,66523_10255,Biochar application to sandy soil: effects of different biochars and N fertilization on crop yields in a three-year field experiment,2016
PDF03240,66261_10699,,2014
PDF03241,70720_13743,Biochar as an adsorbent for inorganic nitrogen and phosphorus removal from water: a review,2017
PDF03242,48895_7039,NPG_SREP_SREP16221.xmp,2015
PDF03243,62331_9596,Biochar as low-cost sorbent of volatile fuel organic compounds: potential application to water remediation,2019
PDF03244,67252_9090,Biochar based remediation of water and soil contaminated by phenanthrene and pentachlorophenol,2017
PDF03245,42332_6580,Biochar characteristics produced from rice husks and their sorption properties for the acetanilide herbicide metolachlor,2017
PDF03246,63581_7761,Biochar characteristics relate to its utility as an alternative soil inoculum carrier to peat and vermiculite,2015
PDF03247,31430_3891,Biochar composts and composites,2015
PDF03248,118241_18810,11356_2015_5114_Article 13824..13841,2015
PDF03249,58155_7801,"Biochar facilitated the phytoremediation of cadmium contaminated sediments: Metal behavior, plant toxicity, and microbial activity",2019
PDF03250,112455_17472,Biochar for Soil Improvement: Evaluation of Biochar from Gasification and Slow Pyrolysis,2015
PDF03251,175252_27659,Biochar for crop production: potential benefits and risks,2017
PDF03252,46410_6304,Biochar from green waste for phosphate removal with subsequent disposal,2017
PDF03253,45624_6952,b'Biochar in agriculture - prospects and related..pdf',2010
PDF03254,57370_7626,Biochar increases arbuscular mycorrhizal plant growth enhancement and ameliorates salinity stress,2015
PDF03255,53710_8758,"Biochar induced Pb and Cu immobilization, phytoavailability attenuation in Chinese cabbage, and improved biochemical properties in naturally co-contaminated soil",2019
PDF03256,37846_5531,Biochar influences on soil CO2 and CH4 fluxes in response to wetting and drying cycles for a forest soil,2017
PDF03257,102698_14193,Biochar modification to enhance sorption of inorganics from water,2017
PDF03258,70683_10216,,2019
PDF03259,49532_5993,Biochar provides a safe and value-added solution for hyperaccumulating plant disposal: A case study of Phytolacca acinosa Roxb. (Phytolaccaceae),2017
PDF03260,125664_15585,Biochar reduced nitrate leaching and improved soil moisture content without yield improvements in a four-year field study,2017
PDF03261,66422_8869,Biochar reduces the bioaccumulation of PAHs from soil to carrot (Daucus carota L.) in the rhizosphere: A mechanism study,2017
PDF03262,55001_7570,Biochar reduces the rhizosphere priming effect on soil organic carbon,2015
PDF03263,60946_9637,,2017
PDF03264,89237_11965,Biochar research activities and their relation to development and environmental quality. A meta-analysis,2017
PDF03265,72519_12076,Biochar soil amendment on alleviation of drought and salt stress in plants: a critical review,2017
PDF03266,102026_15436,"Biochar stability assessment by incubation and modelling: Methods, drawbacks and recommendations",2019
PDF03267,62673_10077,Biochar stimulates the decomposition of simple organic matter and suppresses the decomposition of complex organic matter in a sandy loam soil,2017
PDF03268,93433_12400,Biochar systems: Developing a socio-technical system framework for biochar production in Norway,2017
PDF03269,36006_5142,Biochar total surface area and total pore volume determined by N2 and CO2 physisorption are strongly influenced by degassing temperature,2017
PDF03270,70110_10165,Biochar-Supported FeS/Fe3O4 Composite for Catalyzed Fenton-Type Degradation of Ciprofloxacin,2019
PDF03271,57655_8327,"Biochar-induced Fe(III) reduction for persulfate activation in sulfamethoxazole degradation_ Insight into the electron transfer, radical oxidation and degradation pathways",2019
PDF03272,62898_8031,Biochar–macrofauna interplay: Searching for new bioindicators,2015
PDF03273,84760_7228,Biochars produced from individual grassland species differ in their effect on plant growth,2014
PDF03274,71120_9524,Biochars reduced the bioaccessibility and (bio)uptake of organochlorine pesticides and changed the microbial community dynamics in agricultural soils,2019
PDF03275,54699_7496,Biochars with excellent Pb(II) adsorption property produced from fresh and dehydrated banana peels via hydrothermal carbonization,2017
PDF03276,42556_6860,b'Biochar\xe2\x80\x90mediated oxidation of phenol by persulfate activated with zero\xe2\x80\x90valent iron.pdf',2020
PDF03277,50476_7803,11356_2014_4040_Article 8672..8682,2015
PDF03278,98819_13036,Biological and thermochemical conversion of human solid waste to soil amendments,2019
PDF03279,67064_9602,TF-IBTY170008 1062..1076,2017
PDF03280,146200_11322,Biomass and chemical amendments for enhanced phytoremediation of mixed contaminated soils,2015
PDF03281,129238_18192,"Biomass pyrolysis—A review of modelling, process parameters and catalytic studies",2015
PDF03282,46082_6203,Biomass to hydrogen-rich syngas via catalytic steam gasification of bio-oil/biochar slurry,2015
PDF03283,68271_9477,sc8b06550 1..13,2019
PDF03284,39600_6553,b'Bioremediation of petroleum hydrocarbon-contaminated soil by petroleum-degrading bacteria immobilized on biochar.pdf',2020
PDF03285,80612_10717,Biowaste-based biochar_ A new strategy for fermentative bioethanol overproduction via whole-cell immobilization,2019
PDF03286,67103_10893,Investigation of cadmium immobilization in a contaminated calcareous soil as influenced by biochars and natural zeolite application,2017
PDF03287,100191_21720,Activated Biochar as an Effective Sorbent for Organic and Inorganic Contaminants in Water,2018
PDF03288,68617_10889,"Production, characterization, and potential of activated biochar as adsorbent for phenolic compounds from leachates in a lumber industry site",2018
PDF03289,41999_6516,Breakthrough CO2 adsorption in bio-based activated carbons,2015
PDF03290,79643_11755,folder.joboptions,2017
PDF03291,40152_5485,b'CAN BIOCHAR REDUCE CADMIUM UPTAKE OF TOBACCO.pdf',2017
PDF03292,32836_4106,Microsoft Word - JESTEC- UKMITC_6_2015_045_054,2015
PDF03293,56925_7203,CO2 as a reaction medium for pyrolysis of lignin leading to magnetic cobalt-embedded biochar as an enhanced catalyst for Oxone activation,2019
PDF03294,59203_7785,CO2 gasification of woody biomass: Experimental study from a lab-scale reactor to a small-scale autothermal gasifier,2019
PDF03295,68151_9922,Can biochar link forest restoration with commercial agriculture?,2019
PDF03296,55666_6355,Carbohydrate-to-hydrogen production technologies_ A mini-review,2019
PDF03297,41505_5799,Carbon dioxide assisted sustainability enhancement of pyrolysis of waste biomass: A case study with spent coffee ground,2015
PDF03298,66844_8411,"Carbon nanodot-decorated alveolate N, O, S tridoped hierarchical porous carbon as efficient electrocatalysis of polysulfide conversion for lithium-sulfur batteries",2019
PDF03299,143506_22244,b'Carbon-Based Materials for Humidity Sensing.pdf',2019
PDF03300,45310_7209,Carbonaceous Greenhouse Gases and Microbial Abundance in Paddy Soil under Combined Biochar and Rice Straw Amendment,2019
PDF03301,142863_12368,Carbonization of heavy metal impregnated sewage sludge oriented towards potential co-disposal,2016
PDF03302,48051_6721,Cascade approach of red macroalgae Gracilaria gracilis sustainable valorization by extraction of phycobiliproteins and pyrolysis of residue,2015
PDF03303,63914_9186,Cascading microalgae biorefinery: Fast pyrolysis of Dunaliella tertiolecta lipid extracted-residue,2015
PDF03304,39848_6319,ie5b02677 1..10,2015
PDF03305,59233_8658,Catalytic CO2 gasification of rubber seed shell-derived hydrochar: reactivity and kinetic studies,2019
PDF03306,51620_8133,b'Catalytic Effect of Inorganic Elements on Steam Gasification Biochar Properties from Agrowastes.pdf',2020
PDF03307,38408_5445,PEER-REVIEW ARTICLE,2015
PDF03308,42074_6203,Catalytic decomposition of tar using iron supported biochar,2014
PDF03309,56353_9069,Catalytic effect of rice straw‐derived chars on the decomposition of naphthalene: The influence of steam activation and solvent treatment during char preparation,2019
PDF03310,42781_7441,Catalytic hydrothermal carbonization of invasive macrophyte Hornwort (Ceratophyllum demersum) for production of hydrochar: a potential biofuel,2016
PDF03311,60410_8631,Central composite design approach towards optimization of flamboyant pods derived steam activated carbon for its use as heterogeneous catalyst in transesterification of Hevea brasiliensis oil,2015
PDF03312,127464_20035,Challenges and recent advances in biochar as low-cost biosorbent: From batch assays to continuous-flow systems,2017
PDF03313,77117_10679,Challenges in organic component selection and biochar as an opportunity in potting substrates: a review,2020
PDF03314,59511_8209,Changes in heavy metal mobility and availability from contaminated wetland soil remediated with combined biochar-compost,2017
PDF03315,58266_10912,"Changes in macro‐ and micronutrient contents of grasses and forbs following Miscanthus x giganteus feedstock, hydrochar and biochar application to temperate grassland",2015
PDF03316,66213_8439,Changes in soil microbial community structure and enzyme activity with amendment of biochar-manure compost and pyroligneous solution in a saline soil from Central China,2015
PDF03317,42028_6131,b'Changes in the Physicochemical Characteristics of Peanut Straw Biochar after Freeze-Thaw and Dry-Wet Aging Treatments of the Biomass .pdf',2019
PDF03318,84647_11843,b'Changes in the Soil Microbiome in Eggplant.pdf',2019
PDF03319,46443_6524,Changes in heavy metal mobility and availability in contaminated wet-land soil remediated using lignin-based poly(acrylic acid),2019
PDF03320,54092_6861,Characteristic evolution of hydrochar from hydrothermal carbonization of corn stalk,2015
PDF03321,42559_5984,Characteristics of Biochar Obtained by Hydrothermal Carbonization of Cellulose for Renewable Energy,2015
PDF03322,35940_5265,b'Characteristics of Downward Deep-seated Fire in Radiata Pine Based on Changes in Volumetric Mass Density..pdf',2017
PDF03323,50682_8140,Characteristics of as‐prepared biochar derived from catalytic pyrolysis within moderate‐temperature ionic liquid for CO2 uptake,2020
PDF03324,59254_9123,Characteristics of biochar produced from yak manure at different pyrolysis temperatures and its effects on the yield and growth of highland barley,2018
PDF03325,43824_6245,Characteristics of co-combustion and kinetic study on hydrochar with oil shale: A thermogravimetric analysis,2016
PDF03326,40958_6308,Characteristics of different types of biochar and effects on the toxicity of heavy metals to germinating sorghum seeds,2017
PDF03327,35698_5185,Characterization and Potential Use of Biochar for the Remediation of Coal Mine Waste Containing Efflorescent Salts,2017
PDF03328,63945_9566,Characterization and pelletization of cotton stalk hydrochar from HTC and combustion kinetics of hydrochar pellets by TGA,2019
PDF03329,53042_7520,Characterization and quantification of biochar alkalinity,2016
PDF03330,37806_5571,PEER-REVIEW ARTICLE,2015
PDF03331,28183_4342,Characterization of Biochar and Its Effects on the Water Holding Capacity of Loamy Sand Soil: Comparison of Hemlock Biochar and Switchblade Grass Biochar Characteristics,2017
PDF03332,35157_5763,Characterization of Biochar from Pyrolysis of Rice Husk and Rice Straw,2015
PDF03333,54479_7726,Characterization of bio-carbon and ligno-cellulosic fiber reinforced bio-composites with compatibilizer,2019
PDF03334,44156_6512,Widowati et al.,2017
PDF03335,42907_6820,Characterization of biochar of pine pellet,2015
PDF03336,49980_6838,Characterization of biochar prepared from biogas digestate,2017
PDF03337,38681_5843,Characterization of eggplant grown in animal manure amended soil,2019
PDF03338,44586_7150,13399_2015_163_Article 425..435,2015
PDF03339,49557_7835,11356_2015_4849_Article 16640..16651,2015
PDF03340,179600_15970,Characterization of the Arundo Donax L. solid residue from hydrothermal conversion: Comparison with technical lignins and application perspectives,2015
PDF03341,89530_12942,Characterization and comparison of pyrolysis products from fast pyrolysis of commercial Chlorella vulgaris and cultivated microalgae,2019
PDF03342,27170_4042,Characterizations of biochar from hydrothermal carbonization of exhausted coffee residue,2016
PDF03343,23062_3248,b'Charred fermentation residues accelerate methanogenesis and sorb air pollutants.pdf',2018
PDF03344,46207_7107,es5b03087 1..8,2015
PDF03345,100119_6986,Chemical forms of heavy metals in pyrolytic char of heavy metal-implanted sewage sludge and their impacts on leaching behaviors,2015
PDF03346,57874_8783,"Chemical fractionation of Cu, Ni, Pb and Zn in a mine soil amended with compost and biochar and vegetated with Brassica juncea L.",2015
PDF03347,63041_9894,b'Chemical-physical analysis and exfoliation of biochar-carbon matter_ from agriculture soil improver to starting material for advanced nanotechnologies.pdf',2020
PDF03348,73657_11105,Chemolithotrophic processes in the bacterial communities on the surface of mineral-enriched biochars,2017
PDF03349,69929_9745,"Chloramphenicol interaction with functionalized biochar in water: sorptive mechanism, molecular imprinting effect and repeatable application",2017
PDF03350,35952_5751,Effects of biochar mixtures with pine-bark based substrates on growth and development of horticultural crops,2018
PDF03351,56130_9149,Cigarette butt-derived carbons have ultra-high surface area and unprecedented hydrogen storage capacity,2017
PDF03352,57983_7674,Clay-biochar composites for sorptive removal of tetracycline antibiotic in aqueous media,2019
PDF03353,92830_12353,Climate-change and health effects of using rice husk for biochar-compost: Comparing three pyrolysis systems,2017
PDF03354,72605_11031,"Co-application of ACC-deaminase producing PGPR and timber-waste biochar improves pigments formation, growth and yield of wheat under drought stress",2019
PDF03355,81891_10546,"Co-gasification of woody biomass and chicken manure: Syngas production, biochar reutilization, and cost-benefit analysis",2017
PDF03356,63884_9211,Co-hydrothermal carbonization of polyvinyl chloride and moist biomass to remove chlorine and inorganics for clean fuel production,2019
PDF03357,65431_9164,Co-liquefaction of sewage sludge and rice straw/wood sawdust: The effect of process parameters on the yields/properties of bio-oil and biochar products,2019
PDF03358,58686_9044,b'Co-production of Monosaccharides and Hydrochar from Green Macroalgae Ulva (Chlorophyta) sp. with Subcritical Hydrolysis and Carbonization.pdf',2020
PDF03359,55261_7487,Co-pyrolysis of sewage sludge and cotton stalks,2019
PDF03360,50093_6578,Co-pyrolysis of sewage sludge and sawdust/rice straw for the production of biochar,2017
PDF03361,84827_11682,Cofiring characteristics of coal blended with torrefied Miscanthus biochar optimized with three Taguchi indexes,2019
PDF03362,53915_8055,Combination of hydrothermal carbonization and oxy-fuel combustion process for sewage sludge treatment_ Combustion characteristics and kinetics analysis,2019
PDF03363,63615_11923,Combined biochar and nitrogen fertilizer reduces soil acidity and promotes nutrient use efficiency by soybean crop,2017
PDF03364,45608_6324,Combined pretreatment with torrefaction and washing using torrefaction liquid products to yield upgraded biomass and pyrolysis products,2017
PDF03365,51852_9288,Combined use of biochar and zinc oxide nanoparticle foliar spray improved the plant growth and decreased the cadmium accumulation in rice (Oryza sativa L.) plant,2019
PDF03366,23189_3152,Combining the microbial calcite precipitation process with biochar in order to improve nickel remediation,2019
PDF03367,38952_5732,Comparative Assessment of Biochar Stability Using Multiple Indicators,2019
PDF03368,24660_3759,b'Comparative Modeling of Fluoride Biosorption onto Waste Gossypium Hirsutum Seed Microwave-Bichar using Response Surface Methodology and Artificial Neural Networks.pdf',2017
PDF03369,50967_7232,Comparative Evaluation of Hydrothermal Carbonization and Low Temperature Pyrolysis of Eucommia ulmoides Oliver for the Production of Solid Biofuel,2019
PDF03370,44466_6265,Comparative study on microwave and conventional hydrothermal pretreatment of bamboo sawdust: Hydrochar properties and its pyrolysis behaviors,2017
PDF03371,56520_7632,Comparison of additives amendment for mitigation of greenhouse gases and ammonia emission during sewage sludge co-composting based on correlation analysis,2017
PDF03372,66712_8819,Comparison of landfarming amendments to improve bioremediation of petroleum hydrocarbons in Niger Delta soils,2017
PDF03373,62392_8731,Comparison of sorption and desorption studies of heavy metal ions from biochar and commercial active carbon,2016
PDF03374,46897_7074,LESA_A_1047680_O,2015
PDF03375,59536_7784,"Competitive adsorption of Pb(II), Cd(II) and Cu(II) onto chitosan-pyromellitic dianhydride modified biochar",2017
PDF03376,55834_8086,"b'Competitive adsorption of heavy metal ions (Pb2+, Cu2+, and Ni2+) onto date seed biochar batch and fixed bed experiments(1).pdf'",2019
PDF03377,84074_12593,b'Competitive interaction with keystone taxa induced negative priming under biochar amendments.pdf',2020
PDF03378,146504_22193,Conductive Carbon Materials from the Hydrothermal Carbonization of Vineyard Residues for the Application in Electrochemical Double-Layer Capacitors (EDLCs) and Direct Carbon Fuel Cells (DCFCs),2019
PDF03379,96687_13351,Consistent increase in abundance and diversity but variable change in community composition of bacteria in topsoil of rice paddy under short term biochar treatment across three sites from South China,2015
PDF03380,63522_8432,"Constructed wetlands for industrial wastewater treatment_ Alternative media, input biodegradation ratio and unstable loading",2019
PDF03381,55656_9359,11104_2015_2615_Article 331..345,2015
PDF03382,130583_11489,Contrasting effects of straw and straw–derived biochar application on net global warming potential in the Loess Plateau of China,2017
PDF03383,67157_8562,Conversion of Cu(II)-polluted biomass into an environmentally benign Cu nanoparticles-embedded biochar composite and its potential use on cyanobacteria inhibition,2019
PDF03384,107461_16108,Conversion of sewage sludge into environmental catalyst and microbial fuel cell electrode material: A review,2019
PDF03385,69375_9335,Converting bahiagrass pasture land to elephantgrass bioenergy production enhances biomass yield and water quality,2017
PDF03386,46136_7265,Corn cob biochar increases soil culturable bacterial abundance without enhancing their capacities in utilizing carbon sources in Biolog Eco-plates,2017
PDF03387,79720_10647,Corncob-derived biochar decelerates mineralization of native and added organic matter (AOM) in organic matter depleted alkaline soil,2017
PDF03388,67401_10355,"Coupled biochar amendment and limited irrigation strategies do not affect a degraded soil food web in a maize agroecosystem, compared to the native grassland",2017
PDF03389,81642_6045,Creeping bentgrass growth in sand-based root zones with or without biochar,2015
PDF03390,58302_8025,Cu(II)-influenced adsorption of ciprofloxacin from aqueous solutions by magnetic graphene oxide/nitrilotriacetic acid nanocomposite: Competition and enhancement mechanisms,2017
PDF03391,73086_10231,"Cu2O-CuO@biochar composite_ Synthesis, characterization and its efficient photocatalytic performance",2019
PDF03392,55663_8153,Download Document,2020
PDF03393,61769_7750,DNA extraction efficiency from soil as affected by pyrolysis temperature and extractable organic carbon of high-ash biochar,2017
PDF03394,83424_11736,Deciphering the suppressiveness of banana Fusarium wilt with organic residues,2019
PDF03395,40676_6167,b'Decreasing the Salt Leaching Fraction and Enhancing Water Use Efficiency for Okra Using Biochar Amendments.pdf',2018
PDF03396,51868_6436,"Degradation of 1,4-dioxane by biochar supported nano magnetite particles activating persulfate",2017
PDF03397,45984_6314,Degradation of 4-nonylphenol in marine sediments by persulfate over magnetically modified biochars,2019
PDF03398,55277_8603,b'Desorption Resistance of Polycyclic Aromatic Hydrocarbons in biochars incubated in cow ruminal liquid in vitro and in vivo.pdf',2020
PDF03399,38020_4373,J…X…e†[…W(2).joboptions,2010
PDF03400,35302_4752,b'Development of Coffee Biochar Filler for the Production of Electrical Conductive Reinforced Plastic.pdf',2019
PDF03401,38971_6082,Development of biochar and chitosan blend for heavy metals uptake from synthetic and industrial wastewater,2017
PDF03402,34852_4445,Development of black and biodegradable biochar/gutta percha composite films with high stretchability and barrier properties,2019
PDF03403,73195_9238,Development of carbonaceous material from grapefruit peel with microwave implemented-low temperature hydrothermal carbonization technique for the adsorption of Cu (II),2017
PDF03404,53147_8285,"Development of functional composts using spent coffee grounds, poultry manure and biochar through microbial bioaugmentation",2017
PDF03405,58584_8220,Development of high quality activated carbon from biological sludge and its application for dyes removal from aqueous solutions,2019
PDF03406,65632_9820,"Development of hybrid processes for the removal of volatile organic compounds, plasticizer, and pharmaceutically active compound using sewage sludge, waste scrap tires, and wood chips as sorbents and microbial immobilization matrices",2019
PDF03407,46038_11437,Diesel production from lignocellulosic feed: the bioCRACK process,2017
PDF03408,79828_9277,"Differential bioavailability of polychlorinated biphenyls associated with environmental particles: Microplastic in comparison to wood, coal and biochar",2016
PDF03409,35008_4665,Direct power generation from waste coffee grounds in a biomass fuel cell,2015
PDF03410,44623_6851,ef7b01523 1..8,2017
PDF03411,51274_7563,es8b06401 1..10,2019
PDF03412,50705_7905,PEER-REVIEW ARTICLE,2014
PDF03413,45261_6561,Does carbonization avoid segregation of biomass and lignite during co-firing? Thermal analysis study,2015
PDF03414,81314_11150,Does hydrothermal carbonization as a biomass pretreatment reduce fuel segregation of coal-biomass blends during oxidation?,2019
PDF03415,64017_9334,Does water repellency of pyrochars and hydrochars counter their positive effects on soil hydraulic properties?,2015
PDF03416,23663_3450,b'Drying and heat decomposition of biomass during the production of biochar.pdf',2017
PDF03417,73655_11022,b'Dual Functionality of TiO2 Biochar Hybrid Materials Photocatalytic phenol degradation in the liquid phase and selective oxidation of mehtanol in the gas phase.pdf',2020
PDF03418,68873_10296,Phosphorus sorption capacity of biochars varies with biochar type and salinity level,2018
PDF03419,59665_11746,Dynamic responses of nitrous oxide emission and nitrogen use efficiency to nitrogen and biochar amendment in an intensified vegetable field in southeastern China,2017
PDF03420,50218_7152,"Dynamics of soil organic carbon mineralization in tea plantations converted from farmland at Western Sichuan, China",2017
PDF03421,31412_4714,EFFECT OF BIOCHAR APPLICATION ON SEED GERMINATION AND SEEDLING GROWTH OF GLYCINE MAX (L,2017
PDF03422,48832_6830,Comparing the adsorption mechanism of Cd by rice straw pristine and KOH-modified biochar,2018
PDF03423,59915_8790,"Early seedling establishment on aged Tasmanian tin mine tailings constrained by nutrient deficiency and soil structure, not toxicity",2017
PDF03424,85678_11430,Ecotoxicological characterization of biochars: Role of feedstock and pyrolysis temperature,2015
PDF03425,57750_7116,Effect and microbial reaction mechanism of rice straw biochar on pore methane production during mainstream large-scale aerobic composting in China,2019
PDF03426,17318_2659,Effect of Biochar Addition and Initial pH on Hydrogen Production from the First Phase of Two-Phase Anaerobic Digestion of Carbohydrates Food Waste,2017
PDF03427,44051_7643,,2015
PDF03428,23515_3389,Title of paper,2015
PDF03429,51150_7153,Effect of Corn Residue Biochar on the Hydraulic Properties of Sandy Loam Soil,2017
PDF03430,23221_3412,,2017
PDF03431,70622_10420,Effect of Temperature on the Structural and Physicochemical Properties of Biochar with Apple Tree Branches as Feedstock Material,2017
PDF03432,54867_8344,Effect of Wood Biochar in Manure-Applied Sand Columns on Leachate Quality,2015
PDF03433,45797_7354,Effect of acid modification of biochar on nutrient availability and maize growth in a calcareous soil,2017
PDF03434,14882_2148,Open Access proceedings Journal of Physics: Conference series,2017
PDF03435,46942_6020,Effect of biochar aging on surface characteristics and adsorption behavior of dialkyl phthalates,2015
PDF03436,45509_8522,b'Effect of biochar and phosphorus fertilizer application on soil fertility soil physical and chemical properties.pdf',2017
PDF03437,57234_9485,Effect of biochar on fraction and species of antimony in contaminated soil,2019
PDF03438,53996_7689,"Effect of biochar on leaching of organic carbon, nitrogen, and phosphorus from compost in bioretention systems",2015
PDF03439,28730_3870,Effect of biochar on mechanical and flame retardant properties of wood – Plastic composites,2017
PDF03440,67025_9925,Effect of biochar origin and soil type on the greenhouse gas emission and the bacterial community structure in N fertilised acidic sandy and alkaline clay soil,2019
PDF03441,41776_6182,Effect of catalyst contact on the pyrolysis of wheat straw and wheat husk,2015
PDF03442,66364_9829,Effect of co-application of nano-zero valent iron and biochar on the total and freely dissolved polycyclic aromatic hydrocarbons removal and toxicity of contaminated soils,2016
PDF03443,83090_11666,Effect of dried olive pomace – derived biochar on the mobility of cadmium and nickel in soil,2015
PDF03444,52665_9137,Effect of ethylenediaminetetraacetic acid and biochar on Cu accumulation and subcellular partitioning in Amaranthus retroflexus L.,2019
PDF03445,62824_10112,"Effect of organic, inorganic and slow-release urea fertilisers on CH4 and N2O emissions from rice paddy fields",2016
PDF03446,54672_6979,Effect of oxygen supply strategy on nitrogen removal of biochar-based vertical subsurface flow constructed wetland: Intermittent aeration and tidal flow,2019
PDF03447,81810_10317,Effect of process parameters for production of microporous magnetic biochar derived from agriculture waste biomass,2017
PDF03448,57242_9135,Effect of pyrolysis conditions on the total contents of polycyclic aromatic hydrocarbons in biochars produced from organic residues: Assessment of their hazard potential,2019
PDF03449,38597_5290,Effect of steam activation of biochar produced from a giant Miscanthus on copper sorption and toxicity,2015
PDF03450,69694_8834,Effect of sulfur and sulfur-iron modified biochar on cadmium availability and transfer in the soil-rice system,2019
PDF03451,41238_6770,Effect of tobacco stem-derived biochar on soil metal immobilization and the cultivation of tobacco plant,2019
PDF03452,30748_5149,Effect of pine wood biochar mixed with two types of compost on growth of bell pepper (Capsicum annuum L.),2019
PDF03453,23846_3753,"Effective Role of Biochar, Zeolite and Steel Slag on Leaching Behavior of Cd and Its Fractionations in Soil Column Study",2019
PDF03454,68525_8480,Effective removal of Cr(VI) by attapulgite-supported nanoscale zero-valent iron from aqueous solution: Enhanced adsorption and&nbsp;crystallization,2019
PDF03455,49260_7523,Effective transformation of cellulose to 5-hydroxymethylfurfural catalyzed by fluorine anion-containing ionic liquid modified biochar sulfonic acids in water,2016
PDF03456,63387_8710,Effect of biochar on sweet corn and soil salinity under conjunctive irrigation with brackish water in coastal saline soil,2019
PDF03457,62010_8600,Effect of biochar on the physical and structural properties of a sandy soil,2019
PDF03458,146912_17055,Effects and mechanisms of biochar-microbe interactions in soil improvement and pollution remediation: A review,2017
PDF03459,46640_7216,Effects of Biochar Blends on Microbial Community Composition in Two Coastal Plain Soils,2015
PDF03460,53147_9005,Effects of Biochar and Super Absorbent Polymer on Substrate Properties and Water Spinach Growth,2015
PDF03461,57250_8358,Effects of Biochar on Dispersibility of Colloids in Agricultural Soils,2017
PDF03462,53887_8744,"Effects of Enriched Biochars Containing Magnetic Iron Nanoparticles on Mycorrhizal Colonisation, Plant Growth, Nutrient Uptake and Soil Quality Improvement",2015
PDF03463,44962_6465,"b'Effects of Hardwood Biochar on Soil Acidity, Nutrient Dynamics, and Sweet Corn Productivity.pdf'",2019
PDF03464,35893_5685,b'Effects of Nanoscale Carbon Black Modified by HNO3 on Immobilization and Phytoavailability of Ni in Contaminated Soil.pdf',2015
PDF03465,58312_8094,"Effects of Pretreatments on Yields, Selectivity and Properties of Products from Pyrolysis of Phragmites australis (Common Reeds)",2017
PDF03466,63743_10685,Effects of adding biochar on the properties and nitrogen bioavailability of an acidic soil: Remediation of acidic soil with a specific biochar,2017
PDF03467,64610_7865,Effects of benzo [a] pyrene (BaP) on the composting and microbial community of sewage sludge,2019
PDF03468,55384_7939,Effects of binders on the properties of bio-char pellets,2015
PDF03469,31887_4450,b'Effects of biochar addition on CO2 and CH4 emissions from a cultivated sandy loam soil during freeze-thaw cycles.pdf',2017
PDF03470,67864_8942,Effects of biochar amendment on bacterial and fungal diversity for co-composting of gelatin industry sludge mixed with organic fraction of municipal solid waste,2017
PDF03471,41462_6515,"Effects of biochar amendment on greenhouse gas emissions, net ecosystem carbon budget and properties of an acidic soil under intensive vegetable production",2015
PDF03472,67974_8352,Effects of biochar amendment on the soil silicon cycle in a soil-rice ecosystem,2019
PDF03473,51816_6925,Effects of biochar and Arbuscular mycorrhizae on bioavailability of potentially toxic elements in an aged contaminated soil,2015
PDF03474,67199_9206,Effects of biochar and wood ash on soil hydraulic properties_ A field experiment involving contrasting temperate soils,2017
PDF03475,58986_8965,Effects of biochar application rate on sandy desert soil properties and sorghum growth,2015
PDF03476,49058_7742,Effects of biochar on copper immobilization and soil microbial communities in a metal-contaminated soil,2017
PDF03477,42501_5743,Effects of biochar on nitrogen transformation and heavy metals in sludge composting,2017
PDF03478,53978_7050,Effects of biochar on nitrous oxide and nitric oxide emissions from paddy field during the wheat growth season,2015
PDF03479,31840_4732,b'Effects of biochar on nutrients and the microbial community structure of tobacco-planting soils.pdf',2017
PDF03480,56714_8822,,2014
PDF03481,41790_6822,Effects of co-composting of farm manure and biochar on plant growth and carbon mineralization in an alkaline soil,2017
